#dataset: trafficsign
#way backdoor looks like: green_squares
#merge strategy: aggregation
#learning rate: 0.0001
#number of benign sources: 8
#number of malicious sources: 0
#batch size: 64
#distribution of data: equally distributed subset
#percentage of poisoned data in backdoored nodes: 1.0
#order of time backdoors being inserted: no
#model replacement: False
#starttime: 181435
training_type;epoch_number;learn_rate;avg_training_loss;avg_test_loss;test_accuracy;timestamp
backdoor;1;0.0001;0.0;2.330204849603141;0.0;181725
normal;1;0.0001;2.2933;2.2675397451010606;30.03053011379406;181725
backdoor;2;0.0001;0.0;2.953048172441748;0.0;182022
normal;2;0.0001;2.0989;1.9879409171725657;30.03053011379406;182022
backdoor;3;0.0001;0.0;2.863273814357786;0.0;182319
normal;3;0.0001;1.9779;1.9593974623519979;30.03053011379406;182319
backdoor;4;0.0001;0.0;2.8496319042653666;0.0;182616
normal;4;0.0001;1.9363;1.9089685239429246;30.03053011379406;182616
backdoor;5;0.0001;0.0;3.0622914505110757;0.0;182913
normal;5;0.0001;1.8459;1.7833085823747272;23.53594227033028;182913
backdoor;6;0.0001;0.0;3.359481448370187;0.0;183210
normal;6;0.0001;1.6114;1.3479748357179395;47.793505412156534;183210
backdoor;7;0.0001;0.0;5.753286513625798;0.0;183509
normal;7;0.0001;1.1940;1.0068944349508633;61.94837635303914;183509
backdoor;8;0.0001;0.0;7.600818457220979;1.1656952539550374;183807
normal;8;0.0001;0.8600;0.7535181101116908;73.91063003053011;183807
backdoor;9;0.0001;0.0;7.843101914379618;1.054676658340272;184105
normal;9;0.0001;0.7244;0.7053882250546284;75.71468220927005;184105
backdoor;10;0.0001;0.0;8.25432169731875;1.8873161254510131;184405
normal;10;0.0001;0.6634;0.6552602443435673;77.43547044129892;184405
backdoor;11;0.0001;0.0;8.539653137528893;1.7762975298362476;184703
normal;11;0.0001;0.6170;0.6165513736223003;77.93505412156536;184703
backdoor;12;0.0001;0.0;9.141624431625988;2.3591451568137662;185001
normal;12;0.0001;0.5691;0.5637937258125642;78.73993893977241;185001
backdoor;13;0.0001;0.0;9.859682149302122;4.107688037746322;185258
normal;13;0.0001;0.5167;0.4990132549654071;80.3774632250902;185258
backdoor;14;0.0001;0.0;10.788773307196802;4.274215931168471;185556
normal;14;0.0001;0.4586;0.4397889963709709;82.68109908409659;185556
backdoor;15;0.0001;0.0;11.380383515073431;4.884818207049681;185854
normal;15;0.0001;0.4088;0.391299756506963;85.90063835692479;185854
backdoor;16;0.0001;0.0;11.640627972986378;5.301137940605051;190151
normal;16;0.0001;0.3655;0.36353205952947415;86.73327782403553;190151
backdoor;17;0.0001;0.0;11.963387850619275;5.162364696086595;190448
normal;17;0.0001;0.3344;0.3507880233011079;87.4548986955315;190448
backdoor;18;0.0001;0.0;12.235894670362047;5.217873993893977;190746
normal;18;0.0001;0.3139;0.339525191197619;88.23202886483486;190746
backdoor;19;0.0001;0.0;12.352087460787072;5.27338329170136;191043
normal;19;0.0001;0.2960;0.3301670623924082;88.53733000277546;191043
backdoor;20;0.0001;0.0;12.526822359337597;5.495420482930891;191340
normal;20;0.0001;0.2793;0.32094690819895666;89.45323341659729;191340
backdoor;21;0.0001;0.0;12.637898436924036;5.828476269775187;191638
normal;21;0.0001;0.2623;0.311906180405266;90.14709963918956;191638
backdoor;22;0.0001;0.0;12.961956988696485;5.772966971967804;191936
normal;22;0.0001;0.2439;0.29886579791059636;91.47932278656675;191936
backdoor;23;0.0001;0.0;13.202536988185573;5.911740216486262;192233
normal;23;0.0001;0.2285;0.28710639279293343;92.11767971135166;192233
backdoor;24;0.0001;0.0;13.317746050451122;5.911740216486262;192530
normal;24;0.0001;0.2198;0.2793282258520515;92.22869830696642;192530
backdoor;25;0.0001;0.0;13.376540599847349;5.856230918678879;192827
normal;25;0.0001;0.2072;0.2697869892207047;92.81154593394393;192827
backdoor;26;0.0001;0.0;13.371696707211763;6.1615320566194836;193125
normal;26;0.0001;0.1965;0.2649857735490339;92.9503191784624;193125
backdoor;27;0.0001;0.0;13.147489816124097;6.49458784346378;193422
normal;27;0.0001;0.1882;0.256897805974636;93.31112961421039;193422
backdoor;28;0.0001;0.0;13.330478410935223;6.522342492367471;193720
normal;28;0.0001;0.1804;0.2533081550308269;93.28337496530669;193720
backdoor;29;0.0001;0.0;13.285755433805976;6.855398279211768;194017
normal;29;0.0001;0.1736;0.2522567315758631;93.28337496530669;194017
backdoor;30;0.0001;0.0;13.382464804584504;6.7443796835970025;194315
normal;30;0.0001;0.1697;0.2398645179713253;93.83846794338052;194315
backdoor;31;0.0001;0.0;13.414907103408021;6.6888703857896195;194613
normal;31;0.0001;0.1621;0.23533510648659162;93.8939772411879;194613
backdoor;32;0.0001;0.0;13.46428730181446;6.661115736885928;194911
normal;32;0.0001;0.1580;0.22952424218428902;94.03275048570636;194911
backdoor;33;0.0001;0.0;13.178539012492845;7.216208714959755;195209
normal;33;0.0001;0.1526;0.2272019451980376;94.36580627255066;195209
backdoor;34;0.0001;0.0;13.249128512663871;6.883152928115459;195507
normal;34;0.0001;0.1483;0.2210317495533105;94.5323341659728;195507
backdoor;35;0.0001;0.0;13.17932184808558;7.188454066056065;195804
normal;35;0.0001;0.1435;0.2199577132287499;94.61559811268387;195804
backdoor;36;0.0001;0.0;13.367701000813938;7.132944768248682;200102
normal;36;0.0001;0.1372;0.21529136097527546;94.8376353039134;200102
backdoor;37;0.0001;0.0;13.39598781851441;7.160699417152373;200359
normal;37;0.0001;0.1350;0.2133279910167385;94.94865389952817;200359
backdoor;38;0.0001;0.0;13.362215497908643;7.29947266167083;200657
normal;38;0.0001;0.1343;0.21142158571611588;94.89314460172079;200657
backdoor;39;0.0001;0.0;13.409337060966989;7.382736608381904;200954
normal;39;0.0001;0.1268;0.20415341053398436;95.08742714404663;200954
backdoor;40;0.0001;0.0;13.153674008943556;7.466000555092978;201252
normal;40;0.0001;0.1245;0.2053084345289529;94.94865389952817;201252
backdoor;41;0.0001;0.0;13.237491562139514;7.354981959478213;201550
normal;41;0.0001;0.1241;0.19844618344131745;95.1984457396614;201550
backdoor;42;0.0001;0.0;13.401824807181082;7.410491257285595;201847
normal;42;0.0001;0.1195;0.19173026498909362;95.36497363308354;201847
backdoor;43;0.0001;0.0;13.697718649680768;7.049680821537607;202145
normal;43;0.0001;0.1163;0.18857757580489057;95.36497363308354;202145
backdoor;44;0.0001;0.0;13.586443830919437;7.10519011934499;202443
normal;44;0.0001;0.1132;0.18409781548942386;95.58701082431307;202443
backdoor;45;0.0001;0.0;13.714832891400178;7.049680821537607;202740
normal;45;0.0001;0.1093;0.18260165061744804;95.58701082431307;202740
backdoor;46;0.0001;0.0;13.783466213119384;6.883152928115459;203038
normal;46;0.0001;0.1097;0.17907678149659947;95.8090480155426;203038
backdoor;47;0.0001;0.0;13.968414315110671;6.827643630308077;203335
normal;47;0.0001;0.1069;0.1752889677489943;95.75353871773522;203335
